date,sales,has_event,snap_CA,snap_TX,snap_WI,dayofweek,month,week,sin_dow,cos_dow,lag_1,lag_7,lag_28,rolling_mean_7,rolling_std_7
2011-05-31,19555,1,0,0,0,1,5,22,0.7818314824680297,0.6234898018587336,22538.0,19203.0,24080.0,21819.428571428572,2367.1665803334677
2011-06-01,23165,0,1,1,0,2,6,22,0.9749279121818236,-0.22252093395631434,19555.0,19058.0,20761.0,21869.714285714286,2305.2513756121975
2011-06-02,22681,0,1,0,1,3,6,22,0.43388373911755823,-0.900968867902419,23165.0,20480.0,21184.0,22456.428571428572,1968.3959507801353
2011-06-03,26781,0,1,1,1,4,6,22,-0.433883739117558,-0.9009688679024191,22681.0,22481.0,24486.0,22770.85714285714,1765.3895159021283
2011-06-04,30310,0,1,0,0,5,6,22,-0.9749279121818235,-0.2225209339563146,26781.0,25527.0,28412.0,23385.14285714286,2311.3993184916803
2011-06-05,31604,0,1,1,1,6,6,22,-0.7818314824680299,0.6234898018587334,30310.0,23449.0,23688.0,24068.428571428572,3467.788433432408
2011-06-06,26685,0,1,1,1,0,6,23,0.0,1.0,31604.0,22538.0,25024.0,25233.428571428572,4454.47171791608
2011-06-07,25089,0,1,1,0,1,6,23,0.7818314824680297,0.6234898018587336,26685.0,19555.0,22231.0,25825.85714285714,4309.656460731381
2011-06-08,24453,0,1,0,1,2,6,23,0.9749279121818236,-0.22252093395631434,25089.0,23165.0,22165.0,26616.428571428572,3373.50262374003
2011-06-09,24782,0,1,1,1,3,6,23,0.43388373911755823,-0.900968867902419,24453.0,22681.0,22413.0,26800.428571428572,3183.661197277048
2011-06-10,26419,0,1,0,0,4,6,23,-0.433883739117558,-0.9009688679024191,24782.0,26781.0,25648.0,27100.571428571428,2807.369875710631
2011-06-11,29940,0,0,1,1,5,6,23,-0.9749279121818235,-0.2225209339563146,26419.0,30310.0,28736.0,27048.85714285714,2817.553514935202
2011-06-12,31094,1,0,1,1,6,6,23,-0.7818314824680299,0.6234898018587334,29940.0,31604.0,31320.0,26996.0,2748.8101668418717
2011-06-13,25752,0,0,1,0,0,6,24,0.0,1.0,31094.0,26685.0,22213.0,26923.14285714286,2609.5506272518232
2011-06-14,24155,0,0,0,1,1,6,24,0.7818314824680297,0.6234898018587336,25752.0,25089.0,19613.0,26789.85714285714,2647.295313369928
2011-06-15,25258,0,0,1,1,2,6,24,0.9749279121818236,-0.22252093395631434,24155.0,24453.0,18770.0,26656.428571428572,2768.0910905738265
2011-06-16,22706,0,0,0,0,3,6,24,0.43388373911755823,-0.900968867902419,25258.0,24782.0,18684.0,26771.428571428572,2676.499570779129
2011-06-17,24712,0,0,0,0,4,6,24,-0.433883739117558,-0.9009688679024191,22706.0,26419.0,21649.0,26474.85714285714,3025.8910769430754
2011-06-18,28825,0,0,0,0,5,6,24,-0.9749279121818235,-0.2225209339563146,24712.0,29940.0,27112.0,26231.0,3099.042378972347
2011-06-19,26106,1,0,0,0,6,6,24,-0.7818314824680299,0.6234898018587334,28825.0,31094.0,26246.0,26071.714285714286,2898.8196859115765
2011-06-20,24261,0,0,0,0,0,6,25,0.0,1.0,26106.0,25752.0,20954.0,25359.14285714286,1899.230057029356
2011-06-21,21810,0,0,0,0,1,6,25,0.7818314824680297,0.6234898018587336,24261.0,24155.0,19203.0,25146.14285714286,1931.1674731943192
2011-06-22,21401,0,0,0,0,2,6,25,0.9749279121818236,-0.22252093395631434,21810.0,25258.0,19058.0,24811.14285714286,2299.9404650679694
2011-06-23,22780,0,0,0,0,3,6,25,0.43388373911755823,-0.900968867902419,21401.0,22706.0,20480.0,24260.14285714286,2615.4203886801324
2011-06-24,24638,0,0,0,0,4,6,25,-0.433883739117558,-0.9009688679024191,22780.0,24712.0,22481.0,24270.714285714286,2608.231310951637
2011-06-25,26482,0,0,0,0,5,6,25,-0.9749279121818235,-0.2225209339563146,24638.0,28825.0,25527.0,24260.14285714286,2606.2938839516414
2011-06-26,27668,0,0,0,0,6,6,25,-0.7818314824680299,0.6234898018587334,26482.0,26106.0,23449.0,23925.428571428572,2002.9602972552593
2011-06-27,22642,0,0,0,0,0,6,26,0.0,1.0,27668.0,24261.0,22538.0,24148.571428571428,2344.301591600551
2011-06-28,19800,0,0,0,0,1,6,26,0.7818314824680297,0.6234898018587336,22642.0,21810.0,19555.0,23917.285714285714,2410.2961584478567
2011-06-29,19930,0,0,0,0,2,6,26,0.9749279121818236,-0.22252093395631434,19800.0,21401.0,23165.0,23630.14285714286,2792.5912953486536
2011-06-30,21451,0,0,0,0,3,6,26,0.43388373911755823,-0.900968867902419,19930.0,22780.0,22681.0,23420.0,3033.2671055041064
2011-07-01,31033,0,1,1,0,4,7,26,-0.433883739117558,-0.9009688679024191,21451.0,24638.0,26781.0,23230.14285714286,3120.3444483246403
2011-07-02,33001,0,1,0,1,5,7,26,-0.9749279121818235,-0.2225209339563146,31033.0,26482.0,30310.0,24143.714285714286,4310.44323762207
2011-07-03,29173,0,1,1,1,6,7,26,-0.7818314824680299,0.6234898018587334,33001.0,27668.0,31604.0,25075.0,5452.711924660357
2011-07-04,23033,1,1,0,0,0,7,27,0.0,1.0,29173.0,22642.0,26685.0,25290.0,5599.684276814179
2011-07-05,26596,0,1,1,1,1,7,27,0.7818314824680297,0.6234898018587336,23033.0,19800.0,25089.0,25345.85714285714,5570.743350414773
2011-07-06,26602,0,1,1,1,2,7,27,0.9749279121818236,-0.22252093395631434,26596.0,19930.0,24453.0,26316.714285714286,5006.78655141484
2011-07-07,26727,0,1,1,0,3,7,27,0.43388373911755823,-0.900968867902419,26602.0,21451.0,24782.0,27269.85714285714,4150.087727127836
2011-07-08,27679,0,1,0,1,4,7,27,-0.433883739117558,-0.9009688679024191,26727.0,31033.0,26419.0,28023.571428571428,3311.5547132800875
2011-07-09,32486,0,1,1,1,5,7,27,-0.9749279121818235,-0.2225209339563146,27679.0,33001.0,29940.0,27544.428571428572,3034.6167169920427
2011-07-10,31539,0,1,0,0,6,7,27,-0.7818314824680299,0.6234898018587334,32486.0,29173.0,31094.0,27470.85714285714,2882.72032569766
2011-07-11,26592,0,0,1,1,0,7,28,0.0,1.0,31539.0,23033.0,25752.0,27808.85714285714,3232.987443452844
2011-07-12,24632,0,0,1,1,1,7,28,0.7818314824680297,0.6234898018587336,26592.0,26596.0,24155.0,28317.285714285714,2568.2574971035365
2011-07-13,23445,0,0,1,0,2,7,28,0.9749279121818236,-0.22252093395631434,24632.0,26602.0,25258.0,28036.714285714286,2876.4313372815254
2011-07-14,23447,0,0,0,1,3,7,28,0.43388373911755823,-0.900968867902419,23445.0,26727.0,22706.0,27585.714285714286,3347.7547557671915
2011-07-15,27349,0,0,1,1,4,7,28,-0.433883739117558,-0.9009688679024191,23447.0,27679.0,24712.0,27117.14285714286,3699.0859874916505
2011-07-16,30869,0,0,0,0,5,7,28,-0.9749279121818235,-0.2225209339563146,27349.0,32486.0,28825.0,27070.0,3692.829538443378
2011-07-17,30334,0,0,0,0,6,7,28,-0.7818314824680299,0.6234898018587334,30869.0,31539.0,26106.0,26839.0,3330.3592899265286
2011-07-18,24639,0,0,0,0,0,7,29,0.0,1.0,30334.0,26592.0,24261.0,26666.85714285714,3067.717687389721
2011-07-19,21931,0,0,0,0,1,7,29,0.7818314824680297,0.6234898018587336,24639.0,24632.0,21810.0,26387.85714285714,3162.9908013656523
2011-07-20,22487,0,0,0,0,2,7,29,0.9749279121818236,-0.22252093395631434,21931.0,23445.0,21401.0,26002.0,3553.5289033109857
2011-07-21,22778,0,0,0,0,3,7,29,0.43388373911755823,-0.900968867902419,22487.0,23447.0,22780.0,25865.14285714286,3684.455474402839
2011-07-22,26356,0,0,0,0,4,7,29,-0.433883739117558,-0.9009688679024191,22778.0,27349.0,24638.0,25769.571428571428,3765.4209971415135
2011-07-23,30284,0,0,0,0,5,7,29,-0.9749279121818235,-0.2225209339563146,26356.0,30869.0,26482.0,25627.714285714286,3714.359779481313
2011-07-24,28799,0,0,0,0,6,7,29,-0.7818314824680299,0.6234898018587334,30284.0,30334.0,27668.0,25544.14285714286,3580.9645548171843
2011-07-25,22895,0,0,0,0,0,7,30,0.0,1.0,28799.0,24639.0,22642.0,25324.85714285714,3272.4761994841706
2011-07-26,21195,0,0,0,0,1,7,30,0.7818314824680297,0.6234898018587336,22895.0,21931.0,19800.0,25075.714285714286,3397.398598647959
2011-07-27,20504,0,0,0,0,2,7,30,0.9749279121818236,-0.22252093395631434,21195.0,22487.0,19930.0,24970.571428571428,3520.11443266373
2011-07-28,21243,0,0,0,0,3,7,30,0.43388373911755823,-0.900968867902419,20504.0,22778.0,21451.0,24687.285714285714,3820.2881965581823
2011-07-29,24542,0,0,0,0,4,7,30,-0.433883739117558,-0.9009688679024191,21243.0,26356.0,31033.0,24468.0,3988.4988822028263
2011-07-30,28953,0,0,0,0,5,7,30,-0.9749279121818235,-0.2225209339563146,24542.0,30284.0,33001.0,24208.85714285714,3903.4084861212855
2011-07-31,28677,0,0,0,0,6,7,30,-0.7818314824680299,0.6234898018587334,28953.0,28799.0,29173.0,24018.714285714286,3576.9176075817604
2011-08-01,26607,1,1,1,0,0,8,31,0.0,1.0,28677.0,22895.0,23033.0,24001.285714285714,3549.9390940449134
2011-08-02,25475,0,1,0,1,1,8,31,0.7818314824680297,0.6234898018587336,26607.0,21195.0,26596.0,24531.571428571428,3633.4066593736534
2011-08-03,27237,0,1,1,1,2,8,31,0.9749279121818236,-0.22252093395631434,25475.0,20504.0,26602.0,25143.0,3325.4147109796504
2011-08-04,23713,0,1,0,0,3,8,31,0.43388373911755823,-0.900968867902419,27237.0,21243.0,26727.0,26104.85714285714,2668.9145376957463
2011-08-05,26594,0,1,1,1,4,8,31,-0.433883739117558,-0.9009688679024191,23713.0,24542.0,27679.0,26457.714285714286,1997.9321571969858
2011-08-06,31959,0,1,1,1,5,8,31,-0.9749279121818235,-0.2225209339563146,26594.0,28953.0,32486.0,26750.85714285714,1811.8811981447286
2011-08-07,32006,0,1,1,0,6,8,31,-0.7818314824680299,0.6234898018587334,31959.0,28677.0,31539.0,27180.285714285714,2603.9053179333937
2011-08-08,26354,0,1,0,1,0,8,32,0.0,1.0,32006.0,26607.0,26592.0,27655.85714285714,3166.126046583909
2011-08-09,26213,0,1,1,1,1,8,32,0.7818314824680297,0.6234898018587336,26354.0,25475.0,24632.0,27619.714285714286,3181.5015173282272
2011-08-10,24578,0,1,0,0,2,8,32,0.9749279121818236,-0.22252093395631434,26213.0,27237.0,23445.0,27725.14285714286,3110.0094013025728
2011-08-11,24708,0,0,1,1,3,8,32,0.43388373911755823,-0.900968867902419,24578.0,23713.0,23447.0,27345.285714285714,3333.8950050596686
2011-08-12,28544,0,0,1,1,4,8,32,-0.433883739117558,-0.9009688679024191,24708.0,26594.0,27349.0,27487.428571428572,3170.42267724366
2011-08-13,33003,0,0,1,0,5,8,32,-0.9749279121818235,-0.2225209339563146,28544.0,31959.0,30869.0,27766.0,3164.500855848609
2011-08-14,33909,0,0,0,1,6,8,32,-0.7818314824680299,0.6234898018587334,33003.0,32006.0,30334.0,27915.14285714286,3410.1224038916444
2011-08-15,28511,0,0,1,1,0,8,33,0.0,1.0,33909.0,26354.0,24639.0,28187.0,3839.433031060696
2011-08-16,25266,0,0,0,0,1,8,33,0.7818314824680297,0.6234898018587336,28511.0,26213.0,21931.0,28495.14285714286,3753.396214477906
2011-08-17,23681,0,0,0,0,2,8,33,0.9749279121818236,-0.22252093395631434,25266.0,24578.0,22487.0,28359.85714285714,3864.776208638357
2011-08-18,23376,0,0,0,0,3,8,33,0.43388373911755823,-0.900968867902419,23681.0,24708.0,22778.0,28231.714285714286,4022.712340129294
2011-08-19,27004,0,0,0,0,4,8,33,-0.433883739117558,-0.9009688679024191,23376.0,28544.0,26356.0,28041.428571428572,4242.664762353279
2011-08-20,32258,0,0,0,0,5,8,33,-0.9749279121818235,-0.2225209339563146,27004.0,33003.0,30284.0,27821.428571428572,4252.177985344397
2011-08-21,33973,0,0,0,0,6,8,33,-0.7818314824680299,0.6234898018587334,32258.0,33909.0,28799.0,27715.0,4107.7426891177
2011-08-22,25324,0,0,0,0,0,8,34,0.0,1.0,33973.0,28511.0,22895.0,27724.14285714286,4123.866366593821
2011-08-23,22617,0,0,0,0,1,8,34,0.7818314824680297,0.6234898018587336,25324.0,25266.0,21195.0,27268.85714285714,4197.780938725092
2011-08-24,21935,0,0,0,0,2,8,34,0.9749279121818236,-0.22252093395631434,22617.0,23681.0,20504.0,26890.428571428572,4515.78840872564
2011-08-25,21414,0,0,0,0,3,8,34,0.43388373911755823,-0.900968867902419,21935.0,23376.0,21243.0,26641.0,4764.004058212645
2011-08-26,24268,0,0,0,0,4,8,34,-0.433883739117558,-0.9009688679024191,21414.0,27004.0,24542.0,26360.714285714286,5037.952484700021
2011-08-27,30383,0,0,0,0,5,8,34,-0.9749279121818235,-0.2225209339563146,24268.0,32258.0,28953.0,25969.85714285714,5085.634061700043
2011-08-28,30626,0,0,0,0,6,8,34,-0.7818314824680299,0.6234898018587334,30383.0,33973.0,28677.0,25702.0,4736.646141170621
2011-08-29,22085,0,0,0,0,0,8,35,0.0,1.0,30626.0,25324.0,26607.0,25223.85714285714,3848.179025139509
2011-08-30,20350,0,0,0,0,1,8,35,0.7818314824680297,0.6234898018587336,22085.0,22617.0,25475.0,24761.14285714286,4024.809619869034
2011-08-31,21723,1,0,0,0,2,8,35,0.9749279121818236,-0.22252093395631434,20350.0,21935.0,27237.0,24437.285714285714,4307.3813279952055
2011-09-01,26299,0,1,1,0,3,9,35,0.43388373911755823,-0.900968867902419,21723.0,21414.0,23713.0,24407.0,4328.6005436707255
2011-09-02,29208,0,1,0,1,4,9,35,-0.433883739117558,-0.9009688679024191,26299.0,24268.0,26594.0,25104.85714285714,4155.9852192779745
2011-09-03,34032,0,1,1,1,5,9,35,-0.9749279121818235,-0.2225209339563146,29208.0,30383.0,31959.0,25810.571428571428,4402.3194968539965
2011-09-04,26925,0,1,0,0,6,9,35,-0.7818314824680299,0.6234898018587334,34032.0,30626.0,32006.0,26331.85714285714,5181.137501507144
2011-09-05,30158,1,1,1,1,0,9,36,0.0,1.0,26925.0,22085.0,26354.0,25803.14285714286,4848.032227222747
2011-09-06,26134,0,1,1,1,1,9,36,0.7818314824680297,0.6234898018587336,30158.0,20350.0,26213.0,26956.428571428572,4775.810886022135
2011-09-07,24445,0,1,1,0,2,9,36,0.9749279121818236,-0.22252093395631434,26134.0,21723.0,24578.0,27782.714285714286,3853.6232177992997
2011-09-08,24048,0,1,0,1,3,9,36,0.43388373911755823,-0.900968867902419,24445.0,26299.0,24708.0,28171.571428571428,3226.561681684425
2011-09-09,28246,0,1,1,1,4,9,36,-0.433883739117558,-0.9009688679024191,24048.0,29208.0,28544.0,27850.0,3541.1312222696947
2011-09-10,33030,0,1,0,0,5,9,36,-0.9749279121818235,-0.2225209339563146,28246.0,34032.0,33003.0,27712.571428571428,3498.049640258727
2011-09-11,34632,0,0,1,1,6,9,36,-0.7818314824680299,0.6234898018587334,33030.0,26925.0,33909.0,27569.428571428572,3204.542289581182
2011-09-12,26138,0,0,1,1,0,9,37,0.0,1.0,34632.0,30158.0,28511.0,28670.428571428572,4135.089029962263
2011-09-13,24645,0,0,1,0,1,9,37,0.7818314824680297,0.6234898018587336,26138.0,26134.0,25266.0,28096.14285714286,4173.037759577198
2011-09-14,23505,0,0,0,1,2,9,37,0.9749279121818236,-0.22252093395631434,24645.0,24445.0,23681.0,27883.428571428572,4324.910706482568
2011-09-15,26343,0,0,1,1,3,9,37,0.43388373911755823,-0.900968867902419,23505.0,24048.0,23376.0,27749.14285714286,4461.889227243366
2011-09-16,26933,0,0,0,0,4,9,37,-0.433883739117558,-0.9009688679024191,26343.0,28246.0,27004.0,28077.0,4222.500838760518
2011-09-17,32195,0,0,0,0,5,9,37,-0.9749279121818235,-0.2225209339563146,26933.0,33030.0,32258.0,27889.428571428572,4242.856225749452
2011-09-18,32034,0,0,0,0,6,9,37,-0.7818314824680299,0.6234898018587334,32195.0,34632.0,33973.0,27770.14285714286,4082.969525095316
2011-09-19,24367,0,0,0,0,0,9,38,0.0,1.0,32034.0,26138.0,25324.0,27399.0,3419.4299232474277
2011-09-20,22675,0,0,0,0,1,9,38,0.7818314824680297,0.6234898018587336,24367.0,24645.0,22617.0,27146.0,3589.5646439830603
2011-09-21,21796,0,0,0,0,2,9,38,0.9749279121818236,-0.22252093395631434,22675.0,23505.0,21935.0,26864.571428571428,3883.5179866173976
2011-09-22,21859,0,0,0,0,3,9,38,0.43388373911755823,-0.900968867902419,21796.0,26343.0,21414.0,26620.428571428572,4172.86327985723
2011-09-23,26706,0,0,0,0,4,9,38,-0.433883739117558,-0.9009688679024191,21859.0,26933.0,24268.0,25979.85714285714,4549.700372133349
2011-09-24,32466,0,0,0,0,5,9,38,-0.9749279121818235,-0.2225209339563146,26706.0,32195.0,30383.0,25947.428571428572,4542.577860537724
2011-09-25,33228,0,0,0,0,6,9,38,-0.7818314824680299,0.6234898018587334,32466.0,32034.0,30626.0,25986.14285714286,4605.41736901847
2011-09-26,24090,0,0,0,0,0,9,39,0.0,1.0,33228.0,24367.0,22085.0,26156.714285714286,4880.633009295869
2011-09-27,22788,0,0,0,0,1,9,39,0.7818314824680297,0.6234898018587336,24090.0,22675.0,20350.0,26117.14285714286,4898.651869939015
2011-09-28,22193,0,0,0,0,2,9,39,0.9749279121818236,-0.22252093395631434,22788.0,21796.0,21723.0,26133.285714285714,4885.586990126684
2011-09-29,22383,0,0,0,0,3,9,39,0.43388373911755823,-0.900968867902419,22193.0,21859.0,26299.0,26190.0,4828.8205944446945
2011-09-30,30182,0,0,0,0,4,9,39,-0.433883739117558,-0.9009688679024191,22383.0,26706.0,29208.0,26264.85714285714,4753.972248852219
2011-10-01,39312,0,1,1,0,5,10,39,-0.9749279121818235,-0.2225209339563146,30182.0,32466.0,34032.0,26761.428571428572,4983.7206936565835
2011-10-02,37214,0,1,0,1,6,10,39,-0.7818314824680299,0.6234898018587334,39312.0,33228.0,26925.0,27739.428571428572,6674.630473095937
2011-10-03,30455,0,1,1,1,0,10,40,0.0,1.0,37214.0,24090.0,30158.0,28308.85714285714,7356.148186575439
2011-10-04,26114,0,1,0,0,1,10,40,0.7818314824680297,0.6234898018587336,30455.0,22788.0,26134.0,29218.14285714286,7137.892626178763
2011-10-05,25913,0,1,1,1,2,10,40,0.9749279121818236,-0.22252093395631434,26114.0,22193.0,24445.0,29693.285714285714,6738.022798870249
2011-10-06,26066,0,1,1,1,3,10,40,0.43388373911755823,-0.900968867902419,25913.0,22383.0,24048.0,30224.714285714286,6170.697791829971
2011-10-07,29985,0,1,1,0,4,10,40,-0.433883739117558,-0.9009688679024191,26066.0,30182.0,28246.0,30750.85714285714,5512.556951438888
2011-10-08,35930,0,1,0,1,5,10,40,-0.9749279121818235,-0.2225209339563146,29985.0,39312.0,33030.0,30722.714285714286,5516.446613364014
2011-10-09,35940,0,1,1,1,6,10,40,-0.7818314824680299,0.6234898018587334,35930.0,37214.0,34632.0,30239.571428571428,4730.981323754549
2011-10-10,29401,1,1,0,0,0,10,41,0.0,1.0,35940.0,30455.0,26138.0,30057.571428571428,4433.085263378204
2011-10-11,27427,0,0,1,1,1,10,41,0.7818314824680297,0.6234898018587336,29401.0,26114.0,24645.0,29907.0,4435.235882490735
2011-10-12,27414,0,0,1,1,2,10,41,0.9749279121818236,-0.22252093395631434,27427.0,25913.0,23505.0,30094.571428571428,4272.882979017913
2011-10-13,26116,0,0,1,0,3,10,41,0.43388373911755823,-0.900968867902419,27414.0,26066.0,26343.0,30309.0,4060.44414647791
2011-10-14,29885,0,0,0,1,4,10,41,-0.433883739117558,-0.9009688679024191,26116.0,29985.0,26933.0,30316.14285714286,4051.7708650486647
2011-10-15,38426,0,0,1,1,5,10,41,-0.9749279121818235,-0.2225209339563146,29885.0,35930.0,32195.0,30301.85714285714,4053.3089950710482
2011-10-16,36127,0,0,0,0,6,10,41,-0.7818314824680299,0.6234898018587334,38426.0,35940.0,32034.0,30658.428571428572,4690.6215955223915
2011-10-17,27592,0,0,0,0,0,10,42,0.0,1.0,36127.0,29401.0,24367.0,30685.14285714286,4726.113040987335
2011-10-18,24202,0,0,0,0,1,10,42,0.7818314824680297,0.6234898018587336,27592.0,27427.0,22675.0,30426.714285714286,4855.716209248844
2011-10-19,22441,0,0,0,0,2,10,42,0.9749279121818236,-0.22252093395631434,24202.0,27414.0,21796.0,29966.0,5318.69122372538
2011-10-20,22402,0,0,0,0,3,10,42,0.43388373911755823,-0.900968867902419,22441.0,26116.0,21859.0,29255.571428571428,6004.315360836818
2011-10-21,27130,0,0,0,0,4,10,42,-0.433883739117558,-0.9009688679024191,22402.0,29885.0,26706.0,28725.0,6473.726489948943
2011-10-22,33151,0,0,0,0,5,10,42,-0.9749279121818235,-0.2225209339563146,27130.0,38426.0,32466.0,28331.428571428572,6475.19554034581
2011-10-23,32876,0,0,0,0,6,10,42,-0.7818314824680299,0.6234898018587334,33151.0,36127.0,33228.0,27577.85714285714,5305.998976899364
2011-10-24,24516,0,0,0,0,0,10,43,0.0,1.0,32876.0,27592.0,24090.0,27113.428571428572,4516.531997640913
2011-10-25,22437,0,0,0,0,1,10,43,0.7818314824680297,0.6234898018587336,24516.0,24202.0,22788.0,26674.0,4610.861994609386
2011-10-26,22142,0,0,0,0,2,10,43,0.9749279121818236,-0.22252093395631434,22437.0,22441.0,22193.0,26421.85714285714,4812.425633315322
2011-10-27,22982,0,0,0,0,3,10,43,0.43388373911755823,-0.900968867902419,22142.0,22402.0,22383.0,26379.14285714286,4854.788441273595
2011-10-28,26880,0,0,0,0,4,10,43,-0.433883739117558,-0.9009688679024191,22982.0,27130.0,30182.0,26462.0,4779.970048720657
2011-10-29,33219,0,0,0,0,5,10,43,-0.9749279121818235,-0.2225209339563146,26880.0,33151.0,39312.0,26426.285714285714,4775.078593220061
2011-10-30,31853,0,0,0,0,6,10,43,-0.7818314824680299,0.6234898018587334,33219.0,32876.0,37214.0,26436.0,4791.081610659528
